"","jpyear","year","x2","x3","x4","x5","x6","TOPIX"
"40","平元",1989,"2375.3000000000002","2884.8000000000002","12/18","2364.3299999999999","3/27","2881.3699999999999"
"41","2",1990,"2867.6999999999998","2867.6999999999998","1/ 4","1523.4300000000001","10/ 1","1733.8299999999999"
"42","3",1991,"1740.9200000000001","2028.8499999999999","3/18","1638.0599999999999","12/24","1714.6800000000001"
"43","4",1992,"1763.4300000000001","1763.4300000000001","1/ 6","1102.5","8/18","1307.6600000000001"
"44","5",1993,"1305.8099999999999","1698.6700000000001","9/ 3","1250.0599999999999","1/25","1439.3099999999999"
"45","6",1994,"1445.97","1712.73","6/13","1445.97","1/ 4","1559.0899999999999"
"46","7",1995,"1553.4000000000001","1585.8699999999999","12/27","1193.1600000000001","6/13","1577.7"
"47","8",1996,"1631.0599999999999","1722.1300000000001","6/26","1448.45","12/24","1470.9400000000001"
"48","9",1997,"1480.8599999999999","1560.28","6/26","1130","12/22","1175.03"
"49","10",1998,"1166.6300000000001","1300.3","2/10","980.11000000000001","10/15","1086.99"
"50","11",1999,"1064.9200000000001","1722.2","12/30","1048.3299999999999","1/ 5","1722.2"
"51","12",2000,"1717.47","1754.78","2/ 7","1255.1600000000001","12/21","1283.6700000000001"
"52","13",2001,"1280.9400000000001","1440.97","5/ 7","988.98000000000002","12/17","1032.1400000000001"
"53","14",2002,"1053.96","1139.4300000000001","5/24","815.74000000000001","12/18","843.28999999999996"
"54","15",2003,"860.07000000000005","1105.5899999999999","10/20","770.62","3/11","1043.6900000000001"
"55","16",2004,"1058.99","1217.8699999999999","4/14","1022.61","2/4","1149.6300000000001"
"56","17",2005,"1153.3800000000001","1663.75","12/29","1109.1900000000001","5/18","1649.76"
"57","18",2006,"1673.0699999999999","1783.72","4/7","1458.3","6/13","1681.0699999999999"
"58","19",2007,"1698.95","1816.97","39139","1437.3800000000001","39408","1475.6800000000001"
"59","20",2008,"1411.9100000000001","1430.47","39603","746.46000000000004","39748","859.24000000000001"
"60","21",2009,"875.90999999999997","975.59000000000003","40051","700.92999999999995","39884","907.59000000000003"
"61","22",2010,"915.75","998.89999999999998","40283","803.12","40484","898.79999999999995"
"62","23",2011,"911.79999999999995","974.63","40595","706.08000000000004","40871","728.61000000000001"
"63","24",2012,"742.99000000000001","872.41999999999996","40995","695.50999999999999","41064","859.79999999999995"
"64","25",2013,"888.50999999999999","1302.29","42003","871.88","41282","1302.29"
"65","26",2014,"1292.1500000000001","1447.5799999999999","41981","1132.76","41743","1407.51"
"66","27",2015,"1401.0899999999999","1691.29","42226","1357.98","42018","1547.3"
"67","28",2016,"1509.6700000000001","1552.3599999999999","42724","1196.28","42412","1518.6099999999999"
"68","29",2017,"1554.48","1831.9300000000001","43094","1459.0699999999999","42839","1817.5599999999999"
